huboid,name,party,office,region,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,criminal_categories,important_criminal_categories
100162655,빈호준,국민의힘,구시군의회의원,경기도 안산시사선거구,경기도,안산시사선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162655,27736,"2,774만원",0,음주·위험운전; 도로교통,음주·위험운전
100157639,조은희,더불어민주당,시도의원,전북특별자치도 익산시제2선거구,전북특별자치도,익산시제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157639,27494,"2,749만원",0,교통사고,
100160119,권광기,더불어민주당,구시군의회의원,경상북도 청송군가선거구,경상북도,청송군가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160119,26555,"2,656만원",0,교통사고; 도박,
100156368,연주현,국민의힘,구시군의회의원,경기도 구리시나선거구,경기도,구리시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156368,25784,"2,578만원",17933,사기; 도로교통,사기
100157302,장재호,무소속,구시군의회의원,경상북도 김천시바선거구,경상북도,김천시바선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157302,23681,"2,368만원",3433,음주·위험운전; 무면허운전; 교통사고; 폭력; 도로교통; 노동,음주·위험운전; 무면허운전
100164707,배관구,국민의힘,광역의원비례,부산광역시 부산광역시,부산광역시,부산광역시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164707,22763,"2,276만원",0,교통사고; 공무집행방해,
100161059,한규창,국민의힘,구시군의회의원,인천광역시 검단구나선거구,인천광역시,검단구나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161059,21652,"2,165만원",0,,
100165193,김봉환,개혁신당,광역의원비례,경상북도 경상북도,경상북도,경상북도,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165193,21015,"2,102만원",0,자동차관리,
100158850,김재곤,국민의힘,구시군의회의원,경상북도 봉화군다선거구,경상북도,봉화군다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158850,20732,"2,073만원",0,음주·위험운전; 보험·금융; 도로교통; 노동,음주·위험운전
100164618,정종태,자유와혁신,광역의원비례,서울특별시 서울특별시,서울특별시,서울특별시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164618,20276,"2,028만원",17102,노동,
100155144,윤영섭,국민의힘,구시군의회의원,경기도 남양주시가선거구,경기도,남양주시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155144,20097,"2,010만원",14620,건축·건설·부동산,
100158353,박정호,국민의힘,시도의원,경상북도 포항시제8선거구,경상북도,포항시제8선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158353,18143,"1,814만원",0,음주·위험운전; 도로교통; 노동,음주·위험운전
