sim_id,강원특별자치도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전북특별자치도,제주특별자치도,충청남도,충청북도
336,R,R,R,R,D,R,D,R,D,D,R,D,D,D,D,D,R
337,R,D,R,R,D,R,D,R,D,D,R,R,D,D,D,R,D
338,D,D,R,R,D,R,R,D,R,R,R,R,D,D,R,R,D
339,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,D,R
340,R,R,R,R,D,R,R,R,R,D,R,R,D,D,D,D,D
341,D,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,D
342,R,R,R,R,D,R,R,R,R,D,R,D,D,D,D,R,R
343,D,R,D,R,D,R,D,D,D,D,D,D,D,D,D,D,D
344,D,D,D,D,D,R,D,D,D,D,R,D,D,D,D,D,D
345,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
346,R,R,R,R,D,R,D,R,R,D,R,R,D,D,R,D,R
347,D,R,R,R,D,R,D,R,R,D,R,R,D,D,D,D,R
348,R,D,R,R,D,R,D,R,R,D,D,R,D,D,D,R,R
349,D,D,D,R,D,D,D,D,D,D,R,D,D,D,D,R,D
350,R,D,R,R,D,R,D,R,D,D,R,R,D,D,R,D,R
351,R,D,R,R,D,R,D,R,R,D,R,R,D,D,R,R,D
352,R,R,R,R,D,R,R,R,D,D,R,R,D,D,R,R,R
353,R,D,R,R,D,R,R,R,D,D,R,R,D,D,D,R,R
354,R,R,R,R,D,R,R,R,R,R,R,R,D,D,D,R,R
355,R,D,D,R,D,R,D,D,D,D,R,D,D,D,D,D,D
356,R,R,R,R,D,R,D,R,R,R,R,R,D,D,D,D,R
357,R,R,R,R,D,R,D,R,R,D,R,D,D,D,R,R,R
358,D,D,D,R,D,R,D,D,D,D,R,D,D,D,D,D,D
359,D,D,R,R,D,R,D,R,D,D,R,R,D,D,D,R,R
360,D,D,R,R,D,R,D,D,D,D,D,D,D,D,D,D,D
361,D,R,R,R,D,R,R,R,R,R,R,D,D,D,D,R,R
362,R,D,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
363,R,D,R,R,D,R,R,D,R,R,R,R,D,D,D,R,R
364,D,D,R,R,D,R,D,D,R,D,R,D,D,D,D,D,R
365,R,R,D,R,D,R,D,R,R,D,R,D,D,D,R,D,D
366,R,D,R,R,D,R,D,R,R,R,R,R,D,D,D,D,R
